itinerary_id,Booking_ID,created_at,overall_rating
1,INN00001,2017-10-02,
2,INN00002,2018-11-06,
3,INN00007,2017-10-15,
4,INN00008,2018-12-26,
5,INN00009,2018-07-06,
6,INN00010,2018-10-18,
7,INN00011,2018-09-11,
8,INN00012,2018-04-30,
9,INN00015,2017-10-20,
10,INN00017,2017-10-05,
11,INN00018,2017-08-10,
12,INN00020,2017-10-04,
13,INN00022,2018-11-25,
14,INN00023,2018-03-20,
15,INN00024,2018-10-13,
16,INN00025,2018-05-22,
17,INN00026,2018-04-28,
18,INN00027,2017-09-21,
19,INN00030,2017-09-17,
20,INN00031,2017-09-19,
21,INN00032,2018-11-13,
22,INN00033,2018-12-07,
23,INN00034,2018-01-09,
24,INN00035,2018-10-07,
25,INN00036,2018-04-27,
26,INN00038,2017-10-17,
27,INN00041,2018-11-01,
28,INN00042,2018-06-21,
29,INN00043,2018-04-10,
30,INN00045,2017-11-18,
31,INN00046,2017-12-29,
32,INN00047,2017-11-20,
33,INN00048,2018-04-06,
34,INN00049,2018-11-01,
35,INN00050,2018-12-29,
36,INN00051,2018-05-30,
37,INN00053,2018-05-16,
38,INN00054,2017-11-11,
39,INN00055,2018-06-13,
40,INN00056,2018-05-19,
41,INN00057,2018-07-28,
42,INN00058,2018-12-26,
43,INN00060,2018-04-06,
44,INN00061,2018-09-02,
45,INN00062,2018-05-03,
46,INN00063,2018-06-24,
47,INN00064,2017-09-10,
48,INN00065,2018-12-18,
49,INN00066,2018-10-05,
50,INN00067,2018-06-03,
51,INN00069,2018-04-06,
52,INN00070,2018-04-25,
53,INN00071,2018-08-25,
54,INN00072,2018-11-14,
55,INN00073,2018-08-29,
56,INN00075,2017-10-25,
57,INN00076,2018-03-09,
58,INN00077,2018-12-31,
59,INN00078,2018-06-27,
60,INN00080,2018-03-29,
61,INN00083,2018-12-25,
62,INN00084,2018-03-14,
63,INN00085,2018-03-04,
64,INN00086,2018-10-17,
65,INN00087,2018-09-04,
66,INN00089,2018-12-10,
67,INN00090,2018-08-09,
68,INN00091,2018-05-05,
69,INN00092,2018-03-18,
70,INN00093,2018-04-09,
71,INN00094,2018-05-19,
72,INN00096,2018-08-04,
73,INN00098,2018-04-13,
74,INN00099,2018-11-17,
75,INN00100,2018-12-22,
76,INN00101,2018-10-23,
77,INN00102,2018-05-13,
78,INN00103,2018-12-13,
79,INN00104,2017-10-31,
80,INN00105,2017-10-08,
81,INN00106,2018-02-16,
82,INN00107,2017-11-02,
83,INN00108,2017-09-21,
84,INN00109,2018-06-30,
85,INN00110,2017-09-05,
86,INN00112,2018-06-27,
87,INN00113,2018-06-16,
88,INN00114,2018-06-30,
89,INN00116,2018-08-13,
90,INN00118,2018-11-12,
91,INN00120,2017-11-14,
92,INN00122,2018-09-16,
93,INN00124,2018-05-05,
94,INN00125,2018-04-24,
95,INN00126,2018-03-30,
96,INN00129,2018-06-05,
97,INN00130,2018-07-13,
98,INN00131,2018-10-20,
99,INN00132,2018-10-17,
100,INN00134,2017-10-19,
101,INN00135,2018-03-29,
102,INN00136,2017-10-09,
103,INN00138,2018-06-28,
104,INN00139,2018-05-22,
105,INN00141,2018-05-09,
106,INN00144,2018-10-30,
107,INN00145,2018-03-28,
108,INN00146,2018-06-01,
109,INN00147,2018-05-04,
110,INN00148,2018-04-08,
111,INN00149,2018-06-08,
112,INN00151,2018-05-02,
113,INN00153,2018-04-04,
114,INN00155,2018-04-06,
115,INN00156,2018-11-01,
116,INN00157,2018-05-24,
117,INN00158,2018-02-17,
118,INN00160,2018-06-05,
119,INN00161,2018-11-12,
120,INN00162,2018-04-17,
121,INN00163,2018-10-07,
122,INN00164,2018-08-01,
123,INN00165,2018-07-12,
124,INN00166,2018-01-02,
125,INN00168,2018-11-16,
126,INN00170,2017-09-13,
127,INN00173,2018-06-30,
128,INN00174,2018-10-18,
129,INN00176,2018-03-22,
130,INN00177,2018-08-17,
131,INN00178,2018-05-20,
132,INN00179,2017-10-24,
133,INN00181,2017-09-09,
134,INN00182,2018-03-31,
135,INN00184,2018-04-02,
136,INN00186,2018-05-13,
137,INN00187,2018-08-08,
138,INN00188,2018-08-15,
139,INN00190,2018-11-06,
140,INN00196,2018-05-30,
141,INN00198,2018-03-20,
142,INN00199,2018-03-23,
143,INN00201,2018-08-24,
144,INN00205,2018-11-19,
145,INN00207,2018-05-02,
146,INN00208,2018-08-21,
147,INN00209,2018-12-03,
148,INN00210,2018-02-27,
149,INN00211,2017-09-22,
150,INN00212,2018-07-18,
151,INN00213,2017-09-22,
152,INN00215,2018-08-13,
153,INN00216,2018-12-05,
154,INN00217,2017-10-15,
155,INN00218,2018-03-20,
156,INN00219,2018-10-13,
157,INN00220,2017-08-22,
158,INN00221,2018-06-08,
159,INN00222,2018-03-01,
160,INN00223,2018-09-05,
161,INN00224,2018-06-10,
162,INN00225,2018-04-14,
163,INN00226,2018-04-01,
164,INN00228,2017-09-19,
165,INN00229,2018-03-18,
166,INN00232,2018-05-12,
167,INN00233,2018-10-28,
168,INN00234,2017-10-18,
169,INN00235,2018-06-21,
170,INN00236,2017-08-14,
171,INN00239,2018-12-02,
172,INN00241,2018-06-16,
173,INN00242,2017-10-09,
174,INN00243,2017-09-03,
175,INN00244,2018-09-14,
176,INN00245,2018-02-08,
177,INN00246,2017-10-02,
178,INN00247,2018-03-24,
179,INN00250,2017-11-09,
180,INN00252,2017-10-02,
181,INN00254,2018-05-21,
182,INN00255,2018-09-07,
183,INN00256,2017-11-15,
184,INN00257,2017-09-16,
185,INN00259,2018-10-18,
186,INN00260,2018-07-23,
187,INN00261,2018-06-11,
188,INN00262,2018-01-16,
189,INN00263,2017-09-14,
190,INN00266,2017-09-02,
191,INN00267,2017-08-12,
192,INN00268,2017-08-23,
193,INN00270,2018-04-15,
194,INN00271,2018-03-11,
195,INN00274,2018-12-09,
196,INN00275,2018-06-12,
197,INN00276,2018-07-06,
198,INN00278,2018-03-05,
199,INN00279,2017-08-18,
200,INN00280,2018-04-21,
201,INN00281,2018-06-18,
202,INN00286,2018-08-10,
