itinerary_day_id,itinerary_id,date
1,1,2017-10-02
2,1,2017-10-03
3,1,2017-10-04
4,2,2018-11-06
5,2,2018-11-07
6,2,2018-11-08
7,2,2018-11-09
8,2,2018-11-10
9,3,2017-10-15
10,3,2017-10-16
11,3,2017-10-17
12,3,2017-10-18
13,4,2018-12-26
14,4,2018-12-27
15,4,2018-12-28
16,4,2018-12-29
17,5,2018-07-06
18,5,2018-07-07
19,5,2018-07-08
20,5,2018-07-09
21,6,2018-10-18
22,6,2018-10-19
23,6,2018-10-20
24,6,2018-10-21
25,6,2018-10-22
26,7,2018-09-11
27,8,2018-04-30
28,8,2018-05-01
29,8,2018-05-02
30,9,2017-10-20
31,9,2017-10-21
32,10,2017-10-05
33,11,2017-08-10
34,11,2017-08-11
35,11,2017-08-12
36,11,2017-08-13
37,12,2017-10-04
38,13,2018-11-25
39,14,2018-03-20
40,14,2018-03-21
41,14,2018-03-22
42,14,2018-03-23
43,14,2018-03-24
44,14,2018-03-25
45,15,2018-10-13
46,15,2018-10-14
47,15,2018-10-15
48,16,2018-05-22
49,16,2018-05-23
50,16,2018-05-24
51,17,2018-04-28
52,17,2018-04-29
53,18,2017-09-21
54,18,2017-09-22
55,19,2017-09-17
56,19,2017-09-18
57,20,2017-09-19
58,20,2017-09-20
59,21,2018-11-13
60,21,2018-11-14
61,21,2018-11-15
62,21,2018-11-16
63,22,2018-12-07
64,22,2018-12-08
65,22,2018-12-09
66,23,2018-01-09
67,24,2018-10-07
68,24,2018-10-08
69,25,2018-04-27
70,26,2017-10-17
71,27,2018-11-01
72,27,2018-11-02
73,27,2018-11-03
74,27,2018-11-04
75,28,2018-06-21
76,28,2018-06-22
77,29,2018-04-10
78,29,2018-04-11
79,29,2018-04-12
80,30,2017-11-18
81,30,2017-11-19
82,30,2017-11-20
83,30,2017-11-21
84,31,2017-12-29
85,31,2017-12-30
86,31,2017-12-31
87,32,2017-11-20
88,32,2017-11-21
89,33,2018-04-06
90,34,2018-11-01
91,34,2018-11-02
92,34,2018-11-03
93,34,2018-11-04
94,35,2018-12-29
95,35,2018-12-30
96,35,2018-12-31
97,35,2019-01-01
98,36,2018-05-30
99,36,2018-05-31
100,36,2018-06-01
101,36,2018-06-02
102,36,2018-06-03
103,36,2018-06-04
104,36,2018-06-05
105,37,2018-05-16
106,37,2018-05-17
107,37,2018-05-18
108,38,2017-11-11
109,38,2017-11-12
110,38,2017-11-13
111,38,2017-11-14
112,39,2018-06-13
113,40,2018-05-19
114,40,2018-05-20
115,40,2018-05-21
116,40,2018-05-22
117,41,2018-07-28
118,42,2018-12-26
119,42,2018-12-27
120,42,2018-12-28
121,43,2018-04-06
122,43,2018-04-07
123,43,2018-04-08
124,44,2018-09-02
125,45,2018-05-03
126,45,2018-05-04
127,45,2018-05-05
128,46,2018-06-24
129,46,2018-06-25
130,47,2017-09-10
131,48,2018-12-18
132,48,2018-12-19
133,48,2018-12-20
134,49,2018-10-05
135,49,2018-10-06
136,49,2018-10-07
137,50,2018-06-03
138,50,2018-06-04
139,51,2018-04-06
140,52,2018-04-25
141,52,2018-04-26
142,52,2018-04-27
143,53,2018-08-25
144,53,2018-08-26
145,53,2018-08-27
146,54,2018-11-14
147,55,2018-08-29
148,55,2018-08-30
149,56,2017-10-25
150,56,2017-10-26
151,56,2017-10-27
152,56,2017-10-28
153,56,2017-10-29
154,57,2018-03-09
155,57,2018-03-10
156,57,2018-03-11
157,57,2018-03-12
158,57,2018-03-13
159,58,2018-12-31
160,58,2019-01-01
161,59,2018-06-27
162,59,2018-06-28
163,59,2018-06-29
164,60,2018-03-29
165,60,2018-03-30
166,60,2018-03-31
167,60,2018-04-01
168,60,2018-04-02
169,61,2018-12-25
170,61,2018-12-26
171,62,2018-03-14
172,62,2018-03-15
173,62,2018-03-16
174,62,2018-03-17
175,62,2018-03-18
176,63,2018-03-04
177,63,2018-03-05
178,63,2018-03-06
179,64,2018-10-17
180,65,2018-09-04
181,65,2018-09-05
182,65,2018-09-06
183,65,2018-09-07
184,65,2018-09-08
185,66,2018-12-10
186,67,2018-08-09
187,67,2018-08-10
188,67,2018-08-11
189,68,2018-05-05
190,68,2018-05-06
191,68,2018-05-07
192,68,2018-05-08
193,69,2018-03-18
194,69,2018-03-19
195,69,2018-03-20
196,70,2018-04-09
197,70,2018-04-10
198,70,2018-04-11
199,71,2018-05-19
200,72,2018-08-04
201,72,2018-08-05
202,73,2018-04-13
203,73,2018-04-14
204,73,2018-04-15
205,73,2018-04-16
206,74,2018-11-17
207,74,2018-11-18
208,74,2018-11-19
209,75,2018-12-22
210,75,2018-12-23
211,75,2018-12-24
212,75,2018-12-25
213,76,2018-10-23
214,77,2018-05-13
215,77,2018-05-14
216,77,2018-05-15
217,78,2018-12-13
218,78,2018-12-14
219,78,2018-12-15
220,78,2018-12-16
221,79,2017-10-31
222,80,2017-10-08
223,80,2017-10-09
224,80,2017-10-10
225,81,2018-02-16
226,81,2018-02-17
227,81,2018-02-18
228,82,2017-11-02
229,82,2017-11-03
230,82,2017-11-04
231,82,2017-11-05
232,82,2017-11-06
233,83,2017-09-21
234,83,2017-09-22
235,83,2017-09-23
236,83,2017-09-24
237,84,2018-06-30
238,85,2017-09-05
239,85,2017-09-06
240,85,2017-09-07
241,86,2018-06-27
242,87,2018-06-16
243,87,2018-06-17
244,87,2018-06-18
245,88,2018-06-30
246,88,2018-07-01
247,88,2018-07-02
248,88,2018-07-03
249,88,2018-07-04
250,89,2018-08-13
251,89,2018-08-14
252,89,2018-08-15
253,89,2018-08-16
254,90,2018-11-12
255,90,2018-11-13
256,90,2018-11-14
257,90,2018-11-15
258,90,2018-11-16
259,90,2018-11-17
260,90,2018-11-18
261,91,2017-11-14
262,91,2017-11-15
263,91,2017-11-16
264,91,2017-11-17
265,91,2017-11-18
266,92,2018-09-16
267,92,2018-09-17
268,93,2018-05-05
269,93,2018-05-06
270,93,2018-05-07
271,94,2018-04-24
272,94,2018-04-25
273,95,2018-03-30
274,95,2018-03-31
275,96,2018-06-05
276,96,2018-06-06
277,96,2018-06-07
278,96,2018-06-08
279,96,2018-06-09
280,97,2018-07-13
281,97,2018-07-14
282,97,2018-07-15
283,97,2018-07-16
284,97,2018-07-17
285,98,2018-10-20
286,98,2018-10-21
287,99,2018-10-17
288,99,2018-10-18
289,99,2018-10-19
290,100,2017-10-19
291,100,2017-10-20
292,100,2017-10-21
293,100,2017-10-22
294,100,2017-10-23
295,101,2018-03-29
296,101,2018-03-30
297,101,2018-03-31
298,101,2018-04-01
299,102,2017-10-09
300,103,2018-06-28
301,103,2018-06-29
302,103,2018-06-30
303,103,2018-07-01
304,103,2018-07-02
305,103,2018-07-03
306,103,2018-07-04
307,104,2018-05-22
308,104,2018-05-23
309,104,2018-05-24
310,104,2018-05-25
311,105,2018-05-09
312,105,2018-05-10
313,105,2018-05-11
314,106,2018-10-30
315,106,2018-10-31
316,106,2018-11-01
317,106,2018-11-02
318,107,2018-03-28
319,108,2018-06-01
320,108,2018-06-02
321,109,2018-05-04
322,109,2018-05-05
323,109,2018-05-06
324,109,2018-05-07
325,110,2018-04-08
326,110,2018-04-09
327,110,2018-04-10
328,111,2018-06-08
329,112,2018-05-02
330,112,2018-05-03
331,113,2018-04-04
332,113,2018-04-05
333,113,2018-04-06
334,113,2018-04-07
335,114,2018-04-06
336,115,2018-11-01
337,115,2018-11-02
338,115,2018-11-03
339,116,2018-05-24
340,116,2018-05-25
341,116,2018-05-26
342,117,2018-02-17
343,117,2018-02-18
344,117,2018-02-19
345,118,2018-06-05
346,119,2018-11-12
347,119,2018-11-13
348,119,2018-11-14
349,119,2018-11-15
350,120,2018-04-17
351,120,2018-04-18
352,120,2018-04-19
353,120,2018-04-20
354,121,2018-10-07
355,121,2018-10-08
356,121,2018-10-09
357,121,2018-10-10
358,122,2018-08-01
359,122,2018-08-02
360,123,2018-07-12
361,123,2018-07-13
362,124,2018-01-02
363,124,2018-01-03
364,124,2018-01-04
365,125,2018-11-16
366,125,2018-11-17
367,126,2017-09-13
368,127,2018-06-30
369,127,2018-07-01
370,127,2018-07-02
371,127,2018-07-03
372,128,2018-10-18
373,128,2018-10-19
374,128,2018-10-20
375,128,2018-10-21
376,129,2018-03-22
377,130,2018-08-17
378,130,2018-08-18
379,130,2018-08-19
380,130,2018-08-20
381,130,2018-08-21
382,131,2018-05-20
383,131,2018-05-21
384,132,2017-10-24
385,132,2017-10-25
386,132,2017-10-26
387,132,2017-10-27
388,132,2017-10-28
389,132,2017-10-29
390,132,2017-10-30
391,133,2017-09-09
392,133,2017-09-10
393,133,2017-09-11
394,134,2018-03-31
395,134,2018-04-01
396,134,2018-04-02
397,134,2018-04-03
398,135,2018-04-02
399,135,2018-04-03
400,136,2018-05-13
401,136,2018-05-14
402,137,2018-08-08
403,137,2018-08-09
404,137,2018-08-10
405,137,2018-08-11
406,138,2018-08-15
407,138,2018-08-16
408,138,2018-08-17
409,138,2018-08-18
410,138,2018-08-19
411,139,2018-11-06
412,139,2018-11-07
413,139,2018-11-08
414,139,2018-11-09
415,140,2018-05-30
416,140,2018-05-31
417,140,2018-06-01
418,141,2018-03-20
419,141,2018-03-21
420,141,2018-03-22
421,142,2018-03-23
422,142,2018-03-24
423,142,2018-03-25
424,142,2018-03-26
425,143,2018-08-24
426,143,2018-08-25
427,143,2018-08-26
428,143,2018-08-27
429,143,2018-08-28
430,144,2018-11-19
431,144,2018-11-20
432,144,2018-11-21
433,145,2018-05-02
434,145,2018-05-03
435,145,2018-05-04
436,145,2018-05-05
437,146,2018-08-21
438,146,2018-08-22
439,146,2018-08-23
440,146,2018-08-24
441,146,2018-08-25
442,147,2018-12-03
443,147,2018-12-04
444,147,2018-12-05
445,147,2018-12-06
446,147,2018-12-07
447,147,2018-12-08
448,149,2017-09-22
449,149,2017-09-23
450,149,2017-09-24
451,150,2018-07-18
452,150,2018-07-19
453,151,2017-09-22
454,152,2018-08-13
455,152,2018-08-14
456,152,2018-08-15
457,152,2018-08-16
458,153,2018-12-05
459,153,2018-12-06
460,154,2017-10-15
461,154,2017-10-16
462,155,2018-03-20
463,155,2018-03-21
464,155,2018-03-22
465,155,2018-03-23
466,155,2018-03-24
467,155,2018-03-25
468,155,2018-03-26
469,156,2018-10-13
470,156,2018-10-14
471,156,2018-10-15
472,157,2017-08-22
473,157,2017-08-23
474,157,2017-08-24
475,157,2017-08-25
476,157,2017-08-26
477,157,2017-08-27
478,157,2017-08-28
479,158,2018-06-08
480,158,2018-06-09
481,159,2018-03-01
482,160,2018-09-05
483,160,2018-09-06
484,160,2018-09-07
485,160,2018-09-08
486,160,2018-09-09
487,160,2018-09-10
488,161,2018-06-10
489,161,2018-06-11
490,162,2018-04-14
491,162,2018-04-15
492,162,2018-04-16
493,162,2018-04-17
494,163,2018-04-01
495,163,2018-04-02
496,164,2017-09-19
497,164,2017-09-20
498,164,2017-09-21
499,164,2017-09-22
500,165,2018-03-18
501,165,2018-03-19
502,166,2018-05-12
503,166,2018-05-13
504,166,2018-05-14
505,166,2018-05-15
506,167,2018-10-28
507,167,2018-10-29
508,168,2017-10-18
509,169,2018-06-21
510,170,2017-08-14
511,170,2017-08-15
512,170,2017-08-16
513,170,2017-08-17
514,170,2017-08-18
515,170,2017-08-19
516,170,2017-08-20
517,170,2017-08-21
518,171,2018-12-02
519,171,2018-12-03
520,171,2018-12-04
