name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria,place_id,distance_km
Posada Terra Santa,39.56989000000001,2.653394999999999,4.8,358.0,"['bar', 'lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de la Posada de Terra Santa, 5, Palma",Comida,PLACE_0,0.2927822018706764
Hotel Hostal Cuba,39.5702062,2.6391515,4.1,2620.0,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Sant Magí, 1, Palma",Comida,PLACE_1,0.9323124264706956
Naturalment,39.57065789999999,2.6511136,1.0,1.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Restaurant,"Carrer de Colom, 15, Palma",Comida,PLACE_2,0.1514875766030515
Hotel Cappuccino - Palma,39.56971739999999,2.6502664,4.4,1438.0,"['movie_theater', 'bar', 'lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Plaça de Cort, Palma",Comida,PLACE_3,0.0263025437702569
Can Alomar Urban Luxury Retreat,39.56991110000001,2.646119399999999,4.8,316.0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Sant Feliu, 1, Palma",Comida,PLACE_4,0.3344179209139895
Restaurant El Pilón,39.57106030000001,2.6463035,4.5,1596.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Can Cifré, 4, Palma",Comida,PLACE_5,0.3560266664444035
Marc Fosh Restaurant,39.57336189999999,2.651386999999999,4.6,1062.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de la Missió, 7, Palma",Comida,PLACE_6,0.4348696369142949
Bar Marítim Nou,39.5694524,2.6371001,3.7,979.0,"['restaurant', 'bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",Restaurant,"Passeig Marítim, 1, Palma",Comida,PLACE_7,1.105834783350896
Restaurant Toque,39.5670876,2.6282216,4.7,1140.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer Federico García Lorca, 6, Palma",Comida,PLACE_8,1.8875522919246013
Restaurante Bahía Mediterráneo,39.5624246,2.6267059,4.2,644.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Avinguda de Gabriel Roca, 33, Palma",Comida,PLACE_9,2.1502580824076363
La Baranda,39.5702836,2.638255899999999,4.3,361.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Sant Magí, 29, Palma",Comida,PLACE_10,1.0095035745285246
La Paloma,39.5690898,2.6452358,4.3,1369.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer dels Apuntadors, 16, Palma",Comida,PLACE_11,0.4122856229836075
La Bodeguilla,39.5717805,2.6471513,4.5,2332.0,"['restaurant', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",Restaurant,"Carrer de Sant Jaume, 3, Palma",Comida,PLACE_12,0.3441031474622223
Restaurante Gotic,39.5681671,2.6448366,3.0,329.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Plaça de la Llotja, 2, Palma",Comida,PLACE_13,0.4703904430235054
Restaurante Arume,39.57721220000001,2.6522209,4.6,836.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Sant Miquel, 83, Palma",Comida,PLACE_14,0.867578100600888
La Madeleine de Proust Santa Catalina,39.571281,2.638807,4.0,281.0,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Restaurant,"Carrer d'Anníbal, 17, Palma",Comida,PLACE_15,0.977432747879276
Bar Cafe Coto,39.569472,2.643938,4.5,2751.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Plaça de la Drassana, 12, Palma",Comida,PLACE_16,0.5197982405613812
Duke Restaurant,39.5718918,2.6380522,4.7,1324.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer Soler, 36, Palma",Comida,PLACE_17,1.0553167800820502
Restaurante Asador BOLIXE Cocina Esencial,39.578844,2.657012,4.7,1532.0,"['liquor_store', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Restaurant,"Carrer d'Eusebi Estada, 33, Palma",Comida,PLACE_18,1.1906891224554197
"Telepizza Palma de Mallorca, La Riera - Comida a domicilio",39.5822245,2.6449134,3.0,412.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer d'Anselm Turmeda, 7, Bajo 2, Palma",Comida,PLACE_19,1.4699176070072093
McDonald's,39.5712,2.64731,3.8,4870.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Plaça del Rei Joan Carles I, 7, Palma",Comida,PLACE_20,0.2912304598278054
Quina Creu Tapas Pintxos Restaurant,39.5703813,2.6526939,4.3,1373.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de la Corderia, 24, Palma",Comida,PLACE_21,0.2467082865834156
Restaurante Caballito de Mar,39.5679802,2.6446749,4.1,806.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Passeig de Sagrera, 5, Bajo, Palma",Comida,PLACE_22,0.4906963590616845
Brondo Architect Hotel,39.5710872,2.647932299999999,3.9,526.0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Can Brondo, 4, Palma",Comida,PLACE_23,0.2423996477834719
ICON Rosetó,39.57207599999999,2.6494958,4.6,493.0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer de Can Campaner, 6, Palma",Comida,PLACE_24,0.2786898418590786
Restaurante Diablito Portixol - Comida y Música,39.5617721,2.6653728,3.9,949.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Passeig Portitxol, 5, Palma",Comida,PLACE_25,1.5792724292775662
Hard Rock Cafe Mallorca,39.569341,2.634965,4.2,9383.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Balearic Islands, Passeig Marítim, S/N, Palma",Comida,PLACE_26,1.2890455482102774
Block House Palma,39.5731631,2.6428957,4.2,1664.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Passeig de Mallorca, 16, Palma",Comida,PLACE_27,0.7264752703148768
Ca'n Manolo Palma,39.5671516,2.6283033,4.6,1156.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Carrer Federico García Lorca, 4, Palma",Comida,PLACE_28,1.879581858348493
Restaurante Gran Muralla,39.58435239999999,2.6487725,3.6,63.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",Restaurant,"Plaça de París, 6, Palma",Comida,PLACE_29,1.6437621006253564
Santa Clara Urban Hotel & Spa,39.5668394,2.6522388,4.5,232.0,"['bar', 'lodging', 'cafe', 'spa', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer de Sant Alonso, 16, Palma",Comida,PLACE_30,0.3620134271647586
Cafè Plaça,39.5687386,2.6507942,3.8,1196.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Plaça de Santa Eulàlia, 6, Palma",Comida,PLACE_31,0.1175102525906382
Bar Marítim Nou,39.5694524,2.6371001,3.7,979.0,"['restaurant', 'bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Passeig Marítim, 1, Palma",Comida,PLACE_32,1.105834783350896
La Madeleine de Proust Santa Catalina,39.571281,2.638807,4.0,281.0,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer d'Anníbal, 17, Palma",Comida,PLACE_33,0.977432747879276
Bar Cafe Coto,39.569472,2.643938,4.5,2751.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",Cafe,"Plaça de la Drassana, 12, Palma",Comida,PLACE_34,0.5197982405613812
Can Joan de s'Aigo,39.5728493,2.6439216,4.5,4551.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer del Baró de Santa Maria del Sepulcre, 5, Palma",Comida,PLACE_35,0.6340181505137424
miniBAR Palma - Cafe y Jamón Ibérico al Corte,39.5781561,2.6489844,4.6,279.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer de Pere Dezcallar i Net, 13, Palma",Comida,PLACE_36,0.9553687130290986
LUXOR CAFE PALMA,39.5702736,2.6596262,4.6,155.0,"['bar', 'cafe', 'food', 'point_of_interest', 'establishment']",Cafe,"Carrer dels Foners, 24, Palma",Comida,PLACE_37,0.8284960824583196
Café Al Vent del Món,39.5785388,2.66172,4.2,540.0,"['cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer del Marquès de la Fontsanta, 82, Palma",Comida,PLACE_38,1.4131453546444306
Café & Té,39.5753474,2.6526156,3.0,5.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Plaça de la Porta Pintada, 2, Palma",Comida,PLACE_39,0.6772628083553609
Forn del Santo Cristo,39.5740302,2.652053,4.1,779.0,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer de Sant Miquel, 47, Palma",Comida,PLACE_40,0.523100943622631
Bar Plata,39.5699514,2.6512303,4.7,184.0,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer de l'Argenteria, 1, Palma",Comida,PLACE_41,0.112460846628
Punt de Joc (Metropolitan),39.5734572,2.666320799999999,3.9,141.0,"['bar', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer Gabriel Llabrés, 24, Palma",Comida,PLACE_42,1.4631684695213003
Cafè Barroco,39.5755088,2.657055999999999,4.5,561.0,"['bar', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer de Margalida Caimari, 17, Palma",Comida,PLACE_43,0.8929963353539959
Pastisseria Mariola’s,39.5702143,2.651163,4.4,783.0,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer dels Set Cantons, 6, Palma",Comida,PLACE_44,0.1208433502295663
Rapha Mallorca,39.5694457,2.6483433,4.5,783.0,"['clothing_store', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Plaça del Rosari, 1, Palma",Comida,PLACE_45,0.143036548316592
Mistral Coffee Banc,39.5711087,2.650784,4.9,781.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer del Banc, 4, Palma",Comida,PLACE_46,0.1807183921090557
Ca'n Joan de s'Aigo,39.56993,2.6526434,4.6,7039.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",Cafe,"Carrer de Can Sanç, 10, Palma",Comida,PLACE_47,0.229529947241096
