address,place_id,distance_km,photo_url,photo_reference,image_url
"Carrer de la Posada de Terra Santa, 5, Palma",PLACE_0,0.2927822018706764,,AeeoHcKidwu1uMn62tKYNocPKrynDSeym6cbfHGQqCMotTNMpbeFt684j0W_OPygPuKbWiIaYt5Bike0O89dpsmiXbHwpDBBtbJcYXoWJcU2IWcaJIg5EHz2CMN_TJZ3pU8L5J9Mhw2WQ2k-YbJtfVMWodxlExiUxXj_yqt6vdKpSuhU3cx1A5o12MaDFIwjJgPMi32Szc355wiUBjoH0mLFJDCYJzdDpC4znLZQTrxKrWISE694jpF_cmgT31dmAu-G6-oDwp8fAGZ_Yse0iBBnxomZW1EPJm5R5khtxCSDEOvqMkEpi5A,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcKidwu1uMn62tKYNocPKrynDSeym6cbfHGQqCMotTNMpbeFt684j0W_OPygPuKbWiIaYt5Bike0O89dpsmiXbHwpDBBtbJcYXoWJcU2IWcaJIg5EHz2CMN_TJZ3pU8L5J9Mhw2WQ2k-YbJtfVMWodxlExiUxXj_yqt6vdKpSuhU3cx1A5o12MaDFIwjJgPMi32Szc355wiUBjoH0mLFJDCYJzdDpC4znLZQTrxKrWISE694jpF_cmgT31dmAu-G6-oDwp8fAGZ_Yse0iBBnxomZW1EPJm5R5khtxCSDEOvqMkEpi5A&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Carrer de Sant Magí, 1, Palma",PLACE_1,0.9323124264706956,,AeeoHcIaEyQ8ufw2HMpckjxFuNfjm8LpcxxoWQdA8B9MfbjoHm7uHve1p7-TkUxUnHdLtEaj66kBvvEsfdsDjFIPkrNNgRKuOB6sgYOxAXc73sYDR0G7MzsEiUchVDImKPh1lW8aQ8KwXbV5NL_di8X9xbBVl9gQj9Z3C6AJLC_asiVOOTAVV9JW7azIQGwSQa-ZN_pJXnFt6t8IqgL26rCexTwjtSuei6wcrotJfEudMHiQ9na3gyrxShADg3TQ9-CsjlbbcxNG5ES7bUycshAM-zy7Zd4O_6Mhi-kieRdi2q0rUe7nD4o,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcIaEyQ8ufw2HMpckjxFuNfjm8LpcxxoWQdA8B9MfbjoHm7uHve1p7-TkUxUnHdLtEaj66kBvvEsfdsDjFIPkrNNgRKuOB6sgYOxAXc73sYDR0G7MzsEiUchVDImKPh1lW8aQ8KwXbV5NL_di8X9xbBVl9gQj9Z3C6AJLC_asiVOOTAVV9JW7azIQGwSQa-ZN_pJXnFt6t8IqgL26rCexTwjtSuei6wcrotJfEudMHiQ9na3gyrxShADg3TQ9-CsjlbbcxNG5ES7bUycshAM-zy7Zd4O_6Mhi-kieRdi2q0rUe7nD4o&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Carrer de Colom, 15, Palma",PLACE_2,0.1514875766030515,,AeeoHcLRhMP7XnAiLWefV3-ytC4E7qN63C5vwzR2D0YwcOu5xr4TtXHi5QHBc2lns3vyNKWEhWe1qtBSKT7d0vhQYQ7ZdsRj4MJAGs0WhfQ0J_cPuDV17F7i0fFqJlanfdvJwzJu5mwTn7oxppS7e5EKQ2GYdT5VtlE0BTElyLBqUvwL53MQOZDbYg5AB0OyKarv7XGNgFY9Mfu-rFaGHi0vjIqQrIk16Rxv5YrKmG_WR5Ae5gEKwYYGBbYaFcFG2k8pOLWIYCBccXTLZJ9jgOpuV6E9EC3piJpgcFcC5XI7zrmHQGWONp3BPwgZVeAu4JTsCfZSUi6ZJFt5UmUWwJBlw4tHUFOpphrWcZr_cvYAGbr1Ddzrb684ioxHi5wEKGkvm8MKrprV_T17fMg_t_NFugdA4i0BnpMNwZzVYTOr1ivz7cdBJPKdbExXMbFo6-IFs-fclcg3B5UvZ5Ug96zLi0jKBn8L9UWw0FwrfP81e7TaURDQu2IfRJizGaosvkMNlCqbEJAditlDC_grsElxfGCqCWcfz3_LMgyVxO71_q0CUUfsc0ruG4snTSrLYRVvP4oCd5xP,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcLRhMP7XnAiLWefV3-ytC4E7qN63C5vwzR2D0YwcOu5xr4TtXHi5QHBc2lns3vyNKWEhWe1qtBSKT7d0vhQYQ7ZdsRj4MJAGs0WhfQ0J_cPuDV17F7i0fFqJlanfdvJwzJu5mwTn7oxppS7e5EKQ2GYdT5VtlE0BTElyLBqUvwL53MQOZDbYg5AB0OyKarv7XGNgFY9Mfu-rFaGHi0vjIqQrIk16Rxv5YrKmG_WR5Ae5gEKwYYGBbYaFcFG2k8pOLWIYCBccXTLZJ9jgOpuV6E9EC3piJpgcFcC5XI7zrmHQGWONp3BPwgZVeAu4JTsCfZSUi6ZJFt5UmUWwJBlw4tHUFOpphrWcZr_cvYAGbr1Ddzrb684ioxHi5wEKGkvm8MKrprV_T17fMg_t_NFugdA4i0BnpMNwZzVYTOr1ivz7cdBJPKdbExXMbFo6-IFs-fclcg3B5UvZ5Ug96zLi0jKBn8L9UWw0FwrfP81e7TaURDQu2IfRJizGaosvkMNlCqbEJAditlDC_grsElxfGCqCWcfz3_LMgyVxO71_q0CUUfsc0ruG4snTSrLYRVvP4oCd5xP&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Plaça de Cort, Palma",PLACE_3,0.0263025437702569,,AeeoHcJKW5-qd-yHY4oEm5dn_6VRRuQdg11tcTNN91KJORCdh7KBqz-Jb_3CPwxYMUssMYrNwgzAZ2l-PI8TCRh7XssGRnUajMfwcpgDbiX3o-qrJYf7ZLSoIDLyQce2mAFU6dtFWcONrv1OPOG5Kb8DSlM49uTrkJ3jqu8UuzRDniiwDlti_DQr54OTTueBU6IiF2d_t_xzoee8NsIC0UhPHasT7WvOCQbpt-5SrTd-0_gTnJ9JxzfjZThiPpfZJgPqFEPMZj4NwF2JbMnn7y2Kkw_xsux31L70bvCentBdutAC-8KIf2w,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcJKW5-qd-yHY4oEm5dn_6VRRuQdg11tcTNN91KJORCdh7KBqz-Jb_3CPwxYMUssMYrNwgzAZ2l-PI8TCRh7XssGRnUajMfwcpgDbiX3o-qrJYf7ZLSoIDLyQce2mAFU6dtFWcONrv1OPOG5Kb8DSlM49uTrkJ3jqu8UuzRDniiwDlti_DQr54OTTueBU6IiF2d_t_xzoee8NsIC0UhPHasT7WvOCQbpt-5SrTd-0_gTnJ9JxzfjZThiPpfZJgPqFEPMZj4NwF2JbMnn7y2Kkw_xsux31L70bvCentBdutAC-8KIf2w&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Carrer de Sant Feliu, 1, Palma",PLACE_4,0.3344179209139895,,AeeoHcJjLXUDrc1basN_lLKKgM94B50HqNNEgIJaaBLTQRusROd9wTU95j0J_RKbxMuOG2VTEWWRPlI7_WTXc0t6qEOTuX_KeLGwCY16ooeFPNQDaoxcnCpBlieXI3QT1Pah7d06_UQwbhigdK2_lkS0yfMSjBp-lYXbF4b7PqEpA-ftYMVkDQ8xEu5MjNBZ2QGLydi0SRiK7HCQYsCLj-MRqkBRtx5jBkTcoTgzw9oOO7sY0JWremUqWgiwrU2PfW0Y6SSA-LsWN5dOEfuCeIqtOg5o0I_SWDL_oQsfGuie3HYjVM9bILA,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcJjLXUDrc1basN_lLKKgM94B50HqNNEgIJaaBLTQRusROd9wTU95j0J_RKbxMuOG2VTEWWRPlI7_WTXc0t6qEOTuX_KeLGwCY16ooeFPNQDaoxcnCpBlieXI3QT1Pah7d06_UQwbhigdK2_lkS0yfMSjBp-lYXbF4b7PqEpA-ftYMVkDQ8xEu5MjNBZ2QGLydi0SRiK7HCQYsCLj-MRqkBRtx5jBkTcoTgzw9oOO7sY0JWremUqWgiwrU2PfW0Y6SSA-LsWN5dOEfuCeIqtOg5o0I_SWDL_oQsfGuie3HYjVM9bILA&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Carrer de Can Cifré, 4, Palma",PLACE_5,0.3560266664444035,,AeeoHcLnQJTIx9UmEhLg_kdPPtbCKuPwURuYTqjGSpzNox4m5FyzNxOzv7pXcptG671ALH-iFPF_JL0zStIEaf_UUy6ljCWCr9Lj9QVcjIIOK-VDPeYL4qk7VuHO42f8G-IODk53JgW1DwX2_p1KWAMP-PYgk0XI4ogS7BuXkhTvmgZBC764QlmuouawrIRvpp-2JW-i2zSUWMfukZovP32fjk7Z2NFTb0dUkg9zIzh-X2ckctcaRbO61F6c8H-npEaf8LB0d8HLh9VXfLTmQ7utZAe7mfTemyHw_4wDP4RHmdq0HG9yu01dwuPrE5Xe_5G8_JRoPr0rBN6ZG_Gh4BPV3CjW_jcnPAhh-kwbCsQfcXj1ZYBTsbHsHQvcH1_tYF8EnwCxN7ZpOEeRqKtjHnRPvqpXvgXwDuMFs_m831hEM19b_2FpYEu4GUHl4hX5Y9iAGQPReSTKzdlyzOYNFtXGOnpCkECM40M2imaGEm65LWjlups4OtD6l3_g1gO745_2OK9yECMl4xzTJ-S510b-0Cd71hBu1STlHAopKvqMHZojmc8WHODMflqYVSFL7dKaqvHFTlXfpp35Pw,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcLnQJTIx9UmEhLg_kdPPtbCKuPwURuYTqjGSpzNox4m5FyzNxOzv7pXcptG671ALH-iFPF_JL0zStIEaf_UUy6ljCWCr9Lj9QVcjIIOK-VDPeYL4qk7VuHO42f8G-IODk53JgW1DwX2_p1KWAMP-PYgk0XI4ogS7BuXkhTvmgZBC764QlmuouawrIRvpp-2JW-i2zSUWMfukZovP32fjk7Z2NFTb0dUkg9zIzh-X2ckctcaRbO61F6c8H-npEaf8LB0d8HLh9VXfLTmQ7utZAe7mfTemyHw_4wDP4RHmdq0HG9yu01dwuPrE5Xe_5G8_JRoPr0rBN6ZG_Gh4BPV3CjW_jcnPAhh-kwbCsQfcXj1ZYBTsbHsHQvcH1_tYF8EnwCxN7ZpOEeRqKtjHnRPvqpXvgXwDuMFs_m831hEM19b_2FpYEu4GUHl4hX5Y9iAGQPReSTKzdlyzOYNFtXGOnpCkECM40M2imaGEm65LWjlups4OtD6l3_g1gO745_2OK9yECMl4xzTJ-S510b-0Cd71hBu1STlHAopKvqMHZojmc8WHODMflqYVSFL7dKaqvHFTlXfpp35Pw&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Carrer de la Missió, 7, Palma",PLACE_6,0.4348696369142949,,AeeoHcKdpxdocz8hsC8LYcJC5-IhSgsR00oQxcIDuiO6BXXzV4Kb827u2ZGlS1GweedUOfPO_GUj2FpOFJt-34JWlHZWIPOkyQ2ydZzyPbWRAKmUx6WIyZkIcBd2XYfMhApMjDS5t4JJDRZqVXL5XlpGOwhN2TKPbNWXSKMeLj1bhamfTfDdjvcDe5DIUvUwCFz2sD30O0muTlKryO23j0Xr-xQEd2v6zzCvmLehPWYotae6dl67kTLKteF4UsIzbAe-kKXaYXcSX4JdLAgBdw5pZJhDsEtTbAX9tJB62YrtV_XjGTjeGV8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcKdpxdocz8hsC8LYcJC5-IhSgsR00oQxcIDuiO6BXXzV4Kb827u2ZGlS1GweedUOfPO_GUj2FpOFJt-34JWlHZWIPOkyQ2ydZzyPbWRAKmUx6WIyZkIcBd2XYfMhApMjDS5t4JJDRZqVXL5XlpGOwhN2TKPbNWXSKMeLj1bhamfTfDdjvcDe5DIUvUwCFz2sD30O0muTlKryO23j0Xr-xQEd2v6zzCvmLehPWYotae6dl67kTLKteF4UsIzbAe-kKXaYXcSX4JdLAgBdw5pZJhDsEtTbAX9tJB62YrtV_XjGTjeGV8&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Passeig Marítim, 1, Palma",PLACE_7,1.105834783350896,,AeeoHcImfJ8M12VFXMMaLTxQOTjpNea_pn5vIaBbqEalv-ftJnG8SHmZO73m1Wskpng5_ISCA-v3D-g6ZSvcAdS0qv7eovKvYMpxXPdiR9AehvSBdM2-fWSIDsnBBPx95vE84BbYCPODY_fC4VisSMxZhw1rrjOAVtKqW111Djgx9q0l9FVakuWpz9bHQKwYRzcvfjAgbshlxroo6IrwRH3N83hJwSCcy1qg0PnFW1I_CaTq703qfSp69ukkq4vcY7wIy6ZYjTe1SSuky7UdM87NytcHvYHqQG5yaYusPMVx49a23TLcdwg,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcImfJ8M12VFXMMaLTxQOTjpNea_pn5vIaBbqEalv-ftJnG8SHmZO73m1Wskpng5_ISCA-v3D-g6ZSvcAdS0qv7eovKvYMpxXPdiR9AehvSBdM2-fWSIDsnBBPx95vE84BbYCPODY_fC4VisSMxZhw1rrjOAVtKqW111Djgx9q0l9FVakuWpz9bHQKwYRzcvfjAgbshlxroo6IrwRH3N83hJwSCcy1qg0PnFW1I_CaTq703qfSp69ukkq4vcY7wIy6ZYjTe1SSuky7UdM87NytcHvYHqQG5yaYusPMVx49a23TLcdwg&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Carrer Federico García Lorca, 6, Palma",PLACE_8,1.8875522919246013,,AeeoHcIC1oXnqBSBMESSYqmr-UPaxCwBCX3_JFrx3DBgcPEoEnjOt3dLjp6rEWyYooqLGKypQd_np_u1xJ8CY80m58ZIzBRygXW9r8W7PY62z8ne5_PK_ipRxouIbZmFJi9nIvLVny6aZE3g4kT4imOeTL1PWdVmaX5l3zqb9DjwJAzYkItRxWZofKrqyRXio8DR34Kw9QHfJvnNP01i0hmQlWNJum1ntk3t9J-TR_Enj8Zr6tVitdKmcIjmvEcZNkYjP9DzykX24yJDAuStpEP56yKt3x7-DscKOFADCxF3poKWPTRSJPM,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcIC1oXnqBSBMESSYqmr-UPaxCwBCX3_JFrx3DBgcPEoEnjOt3dLjp6rEWyYooqLGKypQd_np_u1xJ8CY80m58ZIzBRygXW9r8W7PY62z8ne5_PK_ipRxouIbZmFJi9nIvLVny6aZE3g4kT4imOeTL1PWdVmaX5l3zqb9DjwJAzYkItRxWZofKrqyRXio8DR34Kw9QHfJvnNP01i0hmQlWNJum1ntk3t9J-TR_Enj8Zr6tVitdKmcIjmvEcZNkYjP9DzykX24yJDAuStpEP56yKt3x7-DscKOFADCxF3poKWPTRSJPM&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
"Avinguda de Gabriel Roca, 33, Palma",PLACE_9,2.1502580824076363,,AeeoHcIC_D9Kyl6FIwVfmFTfXuq2K2ZMrflMFbnJ4KxpmEfgN063yNDFhg2Bc9EHYgFLDKYBBtsJe4hqdux7j9Tn1MPUPJdmooZwoVyPhIKy4B0lC8yi_1aFhyYMQriXf66H4nA5t4eJNR1qYfNQvO3mRo2aF-H7Bp4eKTQi-7U-c8mYYZ9Bqz_OfnVKvyFtcXJZtq6LCJbTFLxEy2HG3EhLuHTA1qbaT8GJK1x56NocQVm3k7ta0QCulaJJ-rQEL5i8M7J6rGv34MBBO_Dwpxmm31wguKBKMDrGykKEyQWGR4I7H3NSZUA,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=AeeoHcIC_D9Kyl6FIwVfmFTfXuq2K2ZMrflMFbnJ4KxpmEfgN063yNDFhg2Bc9EHYgFLDKYBBtsJe4hqdux7j9Tn1MPUPJdmooZwoVyPhIKy4B0lC8yi_1aFhyYMQriXf66H4nA5t4eJNR1qYfNQvO3mRo2aF-H7Bp4eKTQi-7U-c8mYYZ9Bqz_OfnVKvyFtcXJZtq6LCJbTFLxEy2HG3EhLuHTA1qbaT8GJK1x56NocQVm3k7ta0QCulaJJ-rQEL5i8M7J6rGv34MBBO_Dwpxmm31wguKBKMDrGykKEyQWGR4I7H3NSZUA&key=AIzaSyDWPErrV479Bg-7vV7q1QA6P22ORi-Xe_w
