name,lat,lon,rating,user_ratings_total,type_list,type_main,address,categoria
Posada Terra Santa,39.56989000000001,2.653394999999999,4.8,363.0,"['bar', 'lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de la Posada de Terra Santa, 5, Palma",Comida
Hotel Hostal Cuba,39.5702062,2.6391515,4.1,2628.0,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Sant Magí, 1, Palma",Comida
Naturalment,39.57065789999999,2.6511136,1.0,1.0,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Colom, 15, Palma",Comida
Hotel Cappuccino - Palma,39.56971739999999,2.6502664,4.4,1470.0,"['movie_theater', 'bar', 'lodging', 'spa', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Plaça de Cort, Palma",Comida
Can Alomar Urban Luxury Retreat,39.56991110000001,2.646119399999999,4.8,320.0,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Sant Feliu, 1, Palma",Comida
Restaurant El Pilón,39.57106030000001,2.6463035,4.5,1597.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Can Cifré, 4, Palma",Comida
Marc Fosh Restaurant,39.57336189999999,2.651386999999999,4.6,1068.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de la Missió, 7, Palma",Comida
Bar Marítim Nou,39.5694524,2.6371001,3.7,980.0,"['restaurant', 'cafe', 'bar', 'store', 'food', 'point_of_interest', 'establishment']",restaurant,"Passeig Marítim, 1, Palma",Comida
Restaurant Toque,39.5670876,2.6282216,4.7,1150.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer Federico García Lorca, 6, Palma",Comida
Restaurante Bahía Mediterráneo,39.5624246,2.6267059,4.2,655.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Avinguda de Gabriel Roca, 33, Palma",Comida
La Baranda,39.5702836,2.638255899999999,4.3,367.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Sant Magí, 29, Palma",Comida
La Paloma,39.5690898,2.6452358,4.3,1402.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer dels Apuntadors, 16, Palma",Comida
La Bodeguilla,39.5717805,2.6471513,4.5,2407.0,"['liquor_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Sant Jaume, 3, Palma",Comida
Restaurante Gotic,39.5681671,2.6448366,3.0,354.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Plaça de la Llotja, 2, Palma",Comida
Restaurante Arume,39.57721220000001,2.6522209,4.6,843.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de Sant Miquel, 83, Palma",Comida
La Madeleine de Proust Santa Catalina,39.571281,2.638807,4.1,289.0,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer d'Anníbal, 17, Palma",Comida
Bar Cafe Coto,39.569472,2.643938,4.5,2815.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Plaça de la Drassana, 12, Palma",Comida
Duke Restaurant,39.5718918,2.6380522,4.7,1344.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer Soler, 36, Palma",Comida
Restaurante Asador BOLIXE Cocina Esencial,39.578844,2.657012,4.7,1545.0,"['liquor_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer d'Eusebi Estada, 33, Palma",Comida
Viding,39.5759252,2.625914400000001,3.8,772.0,"['gym', 'spa', 'restaurant', 'food', 'point_of_interest', 'health', 'establishment']",restaurant,"Avinguda de Picasso, 42, Palma",Comida
"Telepizza Palma de Mallorca, La Riera - Comida a domicilio",39.5822245,2.6449134,3.1,432.0,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer d'Anselm Turmeda, 7, Bajo 2, Palma",Comida
McDonald's,39.5712,2.64731,3.8,4909.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Plaça del Rei Joan Carles I, 7, Palma",Comida
Quina Creu Tapas Restaurante,39.5703813,2.6526939,4.3,1407.0,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",restaurant,"Carrer de la Corderia, 24, Palma",Comida
Restaurante Caballito de Mar,39.5679802,2.6446749,4.1,819.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"Passeig de Sagrera, 5, Bajo, Palma",Comida
